book_id,title,author,author_death_year,author_death_year_disputed,publication_year,source,source_url,language,notes
war-and-peace__tolstoy-leo-graf__1864,War and Peace,"Tolstoy, Leo, graf",1910,false,1864,gutenberg,https://www.gutenberg.org/ebooks/2600,en,publication year via Open Library (earliest edition found; not independently verified)
shakespeare-s-sonnets__shakespeare-william__unk,Shakespeare's Sonnets,"Shakespeare, William",1616,false,,gutenberg,https://www.gutenberg.org/ebooks/1041,en,"Open Library match discarded: returned 1766, which is more than 5 years after author's death (1616) -- likely an indexed reprint rather than the original edition; needs manual research"
boswell-s-life-of-johnson-abridged-and-edited-with-an-introduction-by-charles-grosvenor-osgood__boswell-james__unk,"Boswell's Life of Johnson: Abridged and edited, with an introduction by Charles Grosvenor Osgood","Boswell, James",1795,false,,gutenberg,https://www.gutenberg.org/ebooks/1564,en,"Open Library match discarded: returned 2006, which is more than 5 years after author's death (1795) -- likely an indexed reprint rather than the original edition; needs manual research"
alice-or-the-mysteries-complete__lytton-edward-bulwer-lytton-baron__unk,"Alice, or the Mysteries — Complete","Lytton, Edward Bulwer Lytton, Baron",1873,false,,gutenberg,https://www.gutenberg.org/ebooks/9774,en,"Open Library match discarded: returned 2018, which is more than 5 years after author's death (1873) -- likely an indexed reprint rather than the original edition; needs manual research"
the-satyricon-complete__petronius-arbiter__unk,The Satyricon — Complete,Petronius Arbiter,66,false,,gutenberg,https://www.gutenberg.org/ebooks/5225,en,"classical/ancient work (author died before 1400) -- original composition predates reliable publication-year records, not looked up automatically; needs manual research"
the-letters-of-wolfgang-amadeus-mozart-volume-01__mozart-wolfgang-amadeus__unk,The Letters of Wolfgang Amadeus Mozart — Volume 01,"Mozart, Wolfgang Amadeus",1791,false,,gutenberg,https://www.gutenberg.org/ebooks/5307,en,"Open Library match discarded: returned 2018, which is more than 5 years after author's death (1791) -- likely an indexed reprint rather than the original edition; needs manual research"
the-castle-of-otranto__walpole-horace__1764,The Castle of Otranto,"Walpole, Horace",1797,false,1764,gutenberg,https://www.gutenberg.org/ebooks/696,en,publication year via Open Library (earliest edition found; not independently verified)
confessions-of-an-english-opium-eater__de-quincey-thomas__1821,Confessions of an English Opium-Eater,"De Quincey, Thomas",1859,false,1821,gutenberg,https://www.gutenberg.org/ebooks/2040,en,publication year via Open Library (earliest edition found; not independently verified)
memoirs-of-louis-xiv-and-his-court-and-of-the-regency-complete__saint-simon-louis-de-rouvroy-duc-de__unk,Memoirs of Louis XIV and His Court and of the Regency — Complete,"Saint-Simon, Louis de Rouvroy, duc de",1755,false,,gutenberg,https://www.gutenberg.org/ebooks/3875,en,"Open Library match discarded: returned 2016, which is more than 5 years after author's death (1755) -- likely an indexed reprint rather than the original edition; needs manual research"
poems-and-songs-of-robert-burns__burns-robert__unk,Poems and Songs of Robert Burns,"Burns, Robert",1796,false,,gutenberg,https://www.gutenberg.org/ebooks/1279,en,"Open Library match discarded: returned 1853, which is more than 5 years after author's death (1796) -- likely an indexed reprint rather than the original edition; needs manual research"
my-bondage-and-my-freedom__douglass-frederick__unk,My Bondage and My Freedom,"Douglass, Frederick",1895,false,,gutenberg,https://www.gutenberg.org/ebooks/202,en,"Open Library match discarded: returned 1815, which predates author's birth year (1818) -- likely a mismatched search result; needs manual research"
memoirs-of-the-court-of-marie-antoinette-queen-of-france-complete-being-the-historic-memoirs-of-madam-campan-first-lady-in-waiting-to-the-queen__campan-mme-jeanne-louise-henriette__unk,"Memoirs of the Court of Marie Antoinette, Queen of France, Complete: Being the Historic Memoirs of Madam Campan, First Lady in Waiting to the Queen","Campan, Mme. (Jeanne-Louise-Henriette)",1822,false,,gutenberg,https://www.gutenberg.org/ebooks/3891,en,publication year not found via Open Library; needs manual research
lineage-life-and-labors-of-jose-rizal-philippine-patriot__craig-austin__1913,"Lineage, Life and Labors of José Rizal, Philippine Patriot","Craig, Austin",1949,false,1913,gutenberg,https://www.gutenberg.org/ebooks/6867,en,publication year via Open Library (earliest edition found; not independently verified)
the-secret-of-father-brown__chesterton-g-k-gilbert-keith__1927,The secret of Father Brown,"Chesterton, G. K. (Gilbert Keith)",1936,false,1927,gutenberg,https://www.gutenberg.org/ebooks/70175,en,publication year via Open Library (earliest edition found; not independently verified)
calculus-made-easy-being-a-very-simplest-introduction-to-those-beautiful-methods-which-are-generally-called-by-the-terrifying-names-of-the-differential-calculus-and-the-integral-calculus__thompson-silvanus-p-silvanus-phillips__unk,Calculus Made Easy: Being a very-simplest introduction to those beautiful methods which are generally called by the terrifying names of the Differential Calculus and the Integral Calculus,"Thompson, Silvanus P. (Silvanus Phillips)",1916,false,,gutenberg,https://www.gutenberg.org/ebooks/33283,en,publication year not found via Open Library; needs manual research
daughters-of-nijo-a-romance-of-japan__watanna-onoto__1904,Daughters of Nijo: A Romance of Japan,"Watanna, Onoto",1954,false,1904,gutenberg,https://www.gutenberg.org/ebooks/57763,en,publication year via Open Library (earliest edition found; not independently verified)
from-the-earth-to-the-moon-and-round-the-moon__verne-jules__1874,"From the Earth to the moon; and, round the moon","Verne, Jules",1905,false,1874,gutenberg,https://www.gutenberg.org/ebooks/83,en,publication year via Open Library (earliest edition found; not independently verified)
fifteen-thousand-useful-phrases__kleiser-grenville__1917,Fifteen Thousand Useful Phrases,"Kleiser, Grenville",1953,false,1917,gutenberg,https://www.gutenberg.org/ebooks/26225,en,publication year via Open Library (earliest edition found; not independently verified)
scenes-in-the-life-of-harriet-tubman__bradford-sarah-h-sarah-hopkins__unk,Scenes in the Life of Harriet Tubman,"Bradford, Sarah H. (Sarah Hopkins)",1912,false,,gutenberg,https://www.gutenberg.org/ebooks/57821,en,"Open Library match discarded: returned 2016, which is more than 5 years after author's death (1912) -- likely an indexed reprint rather than the original edition; needs manual research"
a-love-story__christie-william-harvey__unk,A Love Story,"Christie, William Harvey",1873,false,,gutenberg,https://www.gutenberg.org/ebooks/8883,en,publication year not found via Open Library; needs manual research
a-terrible-temptation-a-story-of-to-day__reade-charles__1871,A Terrible Temptation: A Story of To-Day,"Reade, Charles",1884,false,1871,gutenberg,https://www.gutenberg.org/ebooks/7895,en,publication year via Open Library (earliest edition found; not independently verified)
the-vision-of-desire__pedler-margaret__1922,The Vision of Desire,"Pedler, Margaret",1948,false,1922,gutenberg,https://www.gutenberg.org/ebooks/7855,en,publication year via Open Library (earliest edition found; not independently verified)
five-weeks-in-a-balloon-or-journeys-and-discoveries-in-africa-by-three-englishmen__verne-jules__1874,"Five Weeks in a Balloon: Or, Journeys and Discoveries in Africa by Three Englishmen","Verne, Jules",1905,false,1874,gutenberg,https://www.gutenberg.org/ebooks/3526,en,publication year via Open Library (earliest edition found; not independently verified)
the-letters-of-franklin-k-lane-personal-and-political__lane-franklin-k__1922,"The Letters of Franklin K. Lane, Personal and Political","Lane, Franklin K.",1921,false,1922,gutenberg,https://www.gutenberg.org/ebooks/4206,en,publication year via Open Library (earliest edition found; not independently verified)
fifty-years-in-wall-street__clews-henry__1908,Fifty years in Wall Street,"Clews, Henry",1923,false,1908,gutenberg,https://www.gutenberg.org/ebooks/70377,en,publication year via Open Library (earliest edition found; not independently verified)
the-small-house-at-allington__trollope-anthony__1864,The Small House at Allington,"Trollope, Anthony",1882,false,1864,gutenberg,https://www.gutenberg.org/ebooks/4599,en,publication year via Open Library (earliest edition found; not independently verified)
at-the-sign-of-the-cat-and-racket__balzac-honore-de__1819,At the Sign of the Cat and Racket,"Balzac, Honoré de",1850,false,1819,gutenberg,https://www.gutenberg.org/ebooks/1680,en,publication year via Open Library (earliest edition found; not independently verified)
thelma__corelli-marie__unk,Thelma,"Corelli, Marie",1924,false,,gutenberg,https://www.gutenberg.org/ebooks/3823,en,"Open Library match discarded: returned 1800, which predates author's birth year (1855) -- likely a mismatched search result; needs manual research"
society-as-i-have-found-it__mcallister-ward__1890,Society as I Have Found It,"McAllister, Ward",1895,false,1890,gutenberg,https://www.gutenberg.org/ebooks/55300,en,publication year via Open Library (earliest edition found; not independently verified)
the-prince__machiavelli-niccolo__1515,The Prince,"Machiavelli, Niccolò",1527,false,1515,gutenberg,https://www.gutenberg.org/ebooks/1232,en,publication year via Open Library (earliest edition found; not independently verified)
king-midas-a-romance__sinclair-upton__unk,King Midas: a Romance,"Sinclair, Upton",1968,false,,gutenberg,https://www.gutenberg.org/ebooks/4923,en,publication year not found via Open Library; needs manual research
color-images-from-mars-rovers-spirit-and-opportunity__webster-bob__unk,Color Images from Mars Rovers: Spirit and Opportunity,"Webster, Bob",,false,,gutenberg,https://www.gutenberg.org/ebooks/12082,en,publication year not found via Open Library; needs manual research; author death year unknown (Gutendex has no record)
