book_id,country_of_first_publication,simultaneous_us_publication,is_anonymous_pseudonymous_or_corporate,had_copyright_notice_at_publication,renewal_filed,creation_year,source,notes
eloise-in-paris__thompson-kay__1957,,,,,,,stanford-copyright-renewal-db,"UNCERTAIN: possible renewal for this author needs manual check (closest CRD id RE327059, 'Eloise in Moscow.', renewed 1987)"
doctor-zhivago__pasternak-boris__1958,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE288971, renewed 1986, class PWH of Max Hayward\, Manya Harari & Bernard Guilbert Guerney)"
anatomy-of-a-murder__traver-robert__1958,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE299147, renewed 1986, class A)"
lolita__nabokov-vladimir__1958,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE163993, renewed 1983, class C)"
around-the-world-with-auntie-mame__dennis-patrick__1958,,,,,,,stanford-copyright-renewal-db,"UNCERTAIN: possible renewal for this author needs manual check (closest CRD id RE179561, 'Auntie Mame.', renewed 1983)"
from-the-terrace__o-hara-john__1958,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE299627, renewed 1986, class C)"
eloise-at-christmastime__thompson-kay__1958,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE301749, renewed 1986, class A)"
exodus__uris-leon__1959,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE277644, renewed 1986, class A)"
hawaii__michener-james-a__1959,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE329300, renewed 1987, class A)"
advise-and-consent__drury-allen__1959,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE322921, renewed 1987, class A)"
lady-chatterley-s-lover__lawrence-d-h__1959,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE499510, renewed 1990, class PWH)"
the-ugly-american__burdick-eugene-l__1959,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE286348, renewed 1986, class A)"
the-leopard__lampedusa-giuseppe-tomasi-di__1960,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE389475, renewed 1988, class PWH of Archibald Colquhoun)"
the-chapman-report__wallace-irving__1960,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE383436, renewed 1988, class A)"
ourselves-to-know__o-hara-john__1960,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE376430, renewed 1988, class C)"
the-constant-image__davenport-marcia__1960,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE380062, renewed 1988, class A)"
the-agony-and-the-ecstasy__stone-irving__1961,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE420067, renewed 1989, class PWH)"
franny-and-zooey__salinger-j-d__1961,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE438737, renewed 1989, class A)"
to-kill-a-mockingbird__lee-harper__1961,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE387164, renewed 1988, class A)"
mila-18__uris-leon__1961,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE420079, renewed 1989, class A)"
the-carpetbaggers__robbins-harold__1961,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE459473, renewed 1989, class A)"
tropic-of-cancer__miller-henry__1961,,,,,false,,stanford-copyright-renewal-db,no renewal found in Stanford CRD (author renews other works there)
ship-of-fools__porter-katherine-anne__1962,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE512465, renewed 1990, class E)"
dearly-beloved__lindbergh-anne-morrow__1962,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE501595, renewed 1990, class A)"
a-shade-of-difference__drury-allen__1962,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE477018, renewed 1990, class A)"
youngblood-hawke__wouk-herman__1962,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE473517, renewed 1990, class A)"
fail-safe__wheeler-eugene-burdick-and-harvey__1962,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE479767, renewed 1990, class A)"
the-shoes-of-the-fisherman__west-morris__1963,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE528406, renewed 1991, class A)"
the-group__mccarthy-mary__1963,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE144811, renewed 1982, class A)"
raise-high-the-roof-beam-carpenters-and-seymour-an-introduction__salinger-j-d__1963,,,,,false,,stanford-copyright-renewal-db,no renewal found in Stanford CRD (author renews other works there)
caravans__michener-james-a__1963,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE527939, renewed 1991, class PWH of Jean Paul Tremblay)"
elizabeth-appleton__o-hara-john__1963,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE527894, renewed 1991, class C)"
grandmother-and-the-priests__caldwell-taylor__1963,,,,,true,,stanford-copyright-renewal-db,"renewal FOUND in Stanford CRD (id RE535177, renewed 1991, class Wr)"
